City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Correntina,BR,89.35,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
370,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
371,Buala,SB,79.88,light rain,-8.145,159.5921,Maringe Lagoon Lodge
373,Uthal,PK,81.3,clear sky,25.8072,66.6219,Al-Mustafa Hotel
374,Labuhan,ID,81.57,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
375,Siocon,PH,79.07,overcast clouds,7.7061,122.1353,ABS Hotel
376,Muli,MV,83.64,few clouds,2.9167,73.5667,Medhufushi Island Resort
385,Curuca,BR,77.41,overcast clouds,-0.7289,-47.8481,Hotel Curuça
387,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
388,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
389,Celestun,MX,77.5,scattered clouds,20.8667,-90.4,Posada Lilia
391,Chabahar,IR,82.63,clear sky,25.2919,60.643,هتل گدروشیا
392,Saurimo,AO,76.03,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
395,Lukulu,ZM,84.25,overcast clouds,-14.3707,23.242,Ruth Guest House
396,Rabo De Peixe,PT,74.28,mist,37.8,-25.5833,Quinta das Giestas
399,Bossangoa,CF,89.64,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
400,Harper,LR,82.36,light rain,4.375,-7.7169,Screensaver
401,Iralaya,HN,78.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
405,Kupang,ID,80.42,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
408,Houston,US,72.97,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
411,Calvinia,ZA,77.09,overcast clouds,-31.4707,19.776,Die Lemoenhuis
412,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
415,Bosaso,SO,82.9,broken clouds,11.2842,49.1816,Red Sea Hotel
419,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
423,Port-Gentil,GA,77.61,overcast clouds,-0.7193,8.7815,Fengshui Residence
