City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Bilibino,RU,68.0546,166.4372,-21.6,100,99,2.71,overcast clouds
134,Cidreira,BR,-30.1811,-50.2056,72.48,77,23,21.43,few clouds
135,Beringovskiy,RU,63.05,179.3167,6.69,92,100,15.93,light snow
136,Lodja,CD,-3.4833,23.4333,85.6,55,100,6.44,overcast clouds
137,Chivay,PE,-15.6383,-71.6011,58.44,34,81,1.43,broken clouds
138,Codrington,AU,-38.2667,141.9667,44.65,92,8,3.83,clear sky
139,Bathsheba,BB,13.2167,-59.5167,86.61,62,20,16.11,few clouds
140,Mabaruma,GY,8.2,-59.7833,86.49,59,98,5.03,overcast clouds
141,Kloulklubed,PW,7.0419,134.2556,82.58,71,99,6.33,overcast clouds
142,Geraldton,AU,-28.7667,114.6,63.12,72,40,14.97,scattered clouds
143,Calvia,ES,39.5657,2.5062,76.91,70,59,16.8,broken clouds
144,Guerrero Negro,MX,27.9769,-114.0611,64.74,83,100,6.24,overcast clouds
145,Arman,RU,59.7,150.1667,10.99,57,11,11.12,few clouds
146,Port Alfred,ZA,-33.5906,26.891,71.29,75,56,21.59,broken clouds
147,Subottsi,UA,48.6554,32.5209,49.15,47,0,7.47,clear sky
148,Viedma,AR,-40.8135,-62.9967,55.26,61,100,13.49,overcast clouds
149,East London,ZA,-33.0153,27.9116,68.94,83,40,13.8,scattered clouds
150,Champerico,GT,14.3,-91.9167,87.28,73,51,1.57,broken clouds
151,Grande Prairie,CA,55.1667,-118.8027,14.18,92,20,3.44,few clouds
152,Zhangjiakou,CN,40.81,114.8794,40.08,56,6,4.38,clear sky
153,Port Hedland,AU,-20.3167,118.5667,73.45,78,75,5.75,broken clouds
154,Tiksi,RU,71.6872,128.8694,13.06,84,100,12.44,overcast clouds
155,Amapa,BR,1.0,-52.0,92.05,44,52,4.5,broken clouds
156,Georgetown,MY,5.4112,100.3354,79.9,86,20,0.0,few clouds
157,Sinnamary,GF,5.3833,-52.95,83.55,72,98,7.02,overcast clouds
158,Palmer,US,42.1584,-72.3287,62.2,83,75,9.22,broken clouds
159,Mazatlan,MX,23.2167,-106.4167,82.02,83,2,4.79,clear sky
160,Narsaq,GL,60.9167,-46.05,30.42,66,40,4.34,scattered clouds
161,Nanakuli,US,21.3906,-158.1547,71.71,88,1,3.44,clear sky
162,San Patricio,US,28.017,-97.5169,81.01,50,0,8.43,clear sky
163,Okhotsk,RU,59.3833,143.3,10.53,72,0,17.43,clear sky
164,New Norfolk,AU,-42.7826,147.0587,55.92,56,100,5.99,overcast clouds
165,El Zapote,MX,21.0667,-102.8,64.2,67,13,1.14,few clouds
166,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,75,11.5,moderate rain
167,Wad Rawah,SD,15.1603,33.1397,98.06,16,9,6.71,clear sky
168,Wolkersdorf,AT,48.3833,16.5167,58.17,62,8,11.01,clear sky
169,Kambia,SL,9.1167,-12.9167,87.12,65,36,5.57,light rain
170,Vardo,NO,70.3705,31.1107,30.4,71,100,8.77,overcast clouds
171,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,70,20,28.77,few clouds
172,Yar-Sale,RU,66.8333,70.8333,2.39,88,12,6.6,few clouds
173,Konstantinovka,RU,49.6167,127.9833,27.61,35,0,2.01,clear sky
174,Havoysund,NO,70.9963,24.6622,34.68,79,89,15.88,overcast clouds
175,Prainha,BR,-1.8,-53.48,91.9,48,79,4.5,broken clouds
176,Pevek,RU,69.7008,170.3133,-0.6,97,100,4.76,overcast clouds
177,Zaysan,KZ,47.4667,84.8667,43.79,66,100,13.38,overcast clouds
178,Butaritari,KI,3.0707,172.7902,81.27,77,16,9.06,light rain
179,Marsh Harbour,BS,26.5412,-77.0636,77.77,56,1,12.57,clear sky
180,Axim,GH,4.8699,-2.2405,83.07,75,97,11.27,light rain
