City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Constitucion,CL,2021-10-29 03:28:13,-35.3333,-72.4167,54.0,80,8,13.29
145,Hamilton,US,2021-10-29 03:26:13,39.1834,-84.5333,57.97,96,90,3.0
146,Souillac,MU,2021-10-29 03:28:14,-20.5167,57.5167,76.35,88,40,13.8
147,Wilmington,US,2021-10-29 03:27:44,34.2257,-77.9447,73.85,78,90,11.5
148,Port Lincoln,AU,2021-10-29 03:24:54,-34.7333,135.8667,57.63,55,80,13.85
149,Fortuna,US,2021-10-29 03:28:14,40.5982,-124.1573,60.19,73,1,0.0
150,Miri,MY,2021-10-29 03:28:15,4.4148,114.0089,84.34,79,40,5.75
151,Guerrero,MX,2021-10-29 03:28:15,17.6667,-100.0,66.72,96,81,4.81
152,Taga,RO,2021-10-29 03:28:16,46.95,24.05,28.72,61,69,2.35
153,Kamphaeng Phet,TH,2021-10-29 03:28:16,16.25,99.5,77.4,89,95,3.04
154,Harrismith,ZA,2021-10-29 03:28:17,-28.2728,29.1295,55.71,92,95,9.44
155,Chingirlau,KZ,2021-10-29 03:28:17,51.095,54.0814,38.34,81,100,10.36
156,Bosaso,SO,2021-10-29 03:28:17,11.2842,49.1816,78.17,55,2,4.47
157,Juba,SS,2021-10-29 03:28:18,4.8517,31.5825,72.72,76,37,1.07
158,Bathsheba,BB,2021-10-29 03:28:19,13.2167,-59.5167,81.21,74,40,11.5
159,Cabo San Lucas,MX,2021-10-29 03:25:07,22.8909,-109.9124,79.52,69,0,4.94
160,Konevo,RU,2021-10-29 03:28:19,62.1215,39.3192,28.17,92,100,11.39
161,Takaungu,KE,2021-10-29 03:28:20,-3.6837,39.8566,75.94,85,42,6.42
162,Pacific Grove,US,2021-10-29 03:28:20,36.6177,-121.9166,69.94,86,1,3.0
163,Tailai,CN,2021-10-29 03:28:21,46.3833,123.4,54.45,38,100,14.32
164,Madera,US,2021-10-29 03:28:21,37.1666,-119.8343,70.07,78,0,3.47
165,Codrington,AU,2021-10-29 03:28:21,-38.2667,141.9667,54.41,55,99,20.04
